File,Bytes,SHA256
diagnostics/benchmark_training_diagnostics.csv,51643,356368fb0498da8c9df2b062575431655dc2928eeff2c6a7bf0a44242a70860c
diagnostics/hmm_diagnostics.csv,297,45663fffae1c0415f7954bfa4afd963e4aa94c341af8517ea7b4f25933dab026
diagnostics/policy_training_diagnostics.csv,447553,4bcbedaf7aae44631b4d5522e1d9d79c03a1cfa19e36bf0682ad6216d84caf5e
diagnostics/training_times.csv,2479,4f1b340a9930e07021f2429588b11c1c89ae96742940e59ac279742a4c3dc4be
graphs/average_predictive_adjacency.csv,1731,2dba6e55ce755285a26a0264de8f97bc10a00a21f6f66dab4df5dfd761b85002
graphs/average_risk_adjacency.csv,1759,9c2ef6e336df05df22c721bfc2e6d007518767bc83d6d9286396315b8ff0ccfe
graphs/graph_summary.csv,153,77f16db47734355215135746a339efbb6090a2987a52e6b456888cd5a8c9c1dd
graphs/predictive_graph_edges.csv,12087,d8f684e94f822cbc62c5ed6485a8d404815c30844e768eb3f3603d1918fb4568
graphs/risk_graph_edges.csv,4553,03deb7596ff0fbf25d0913ae6a424823125e36f8d7209b3d74d19cd09e3772e8
paths/hmm_filtered_probabilities.csv,139240,d058ed2a1af1efb3637e2926989a33eacdb6d8f73fa37f1dcd92aa6ca3fee321
paths/oos_daily_method_cash_weights.csv,301850,805e54f98bb84fe8118555dd5eb0f6371f9cafb974172bffa656d97e86ea9c3b
paths/oos_daily_method_drawdowns.csv,352070,eea137c407ae14087f72d408d7a82ec8cc45f07f4336998f769f63c88bb3d23b
paths/oos_daily_method_returns.csv,397377,97f2ff01c66f7c0afebf7dff0757d818c094757c91e7adea0faf281699a8a7df
paths/oos_daily_method_turnover.csv,381974,1c67d684c95a5c400993d1534e99ad20daffef8b51ce041a94875648ae51c9e2
paths/oos_daily_method_wealth.csv,343017,a69d47cfc1cb2aff766d0ca0047f74d28e4c4d509906f028f7702a310db33cfe
paths/oos_xgat_gru_weights.csv,518390,e9454720acc759e2a3f64a8bf4d2fe46921c6fb77045b833af296637cf11aaee
paths/oos_xgat_hybrid_weights.csv,519622,4713cb1b2c3185bb09b749143fb270d5c19432ad0b203ffb381c0e00dae8eaa6
paths/oos_xgat_lstm_weights.csv,518904,1ef89c8c75da58b5f4acaed3e670d8270fff8bec63437c546d52469c19cd2e68
paths/oos_xgat_weights.csv,519622,4713cb1b2c3185bb09b749143fb270d5c19432ad0b203ffb381c0e00dae8eaa6
pre_model/data_quality_report.csv,995,de45788bce8e5024f54b1d15ef6461080e9a5712c8edc09cf739f6a1399d1aad
pre_model/descriptive_statistics.csv,3932,9a7f18396c341c6ea2aede3382d4a9f32efc4dfba6d54b7e54ccccc324a1ff99
pre_model/distribution_and_stationarity_tests.csv,4170,663e1218d0787ca5d057b5a6bc4ccaec16c5c72265c257b738422b501d15ecf0
pre_model/market_phase_daily.csv,1027054,93621c1933506092ce53a08bf12e0b4203be43cb4155982428a4f3d7bcf3afbc
tables/adjusted_prices.csv,1065424,307a4356426816c6494eb9719f4d35ee5958ac630dd318c4a9dc5cae078d8a7d
tables/daily_log_returns.csv,1365696,8d867acf4ae72fef0b13d6bbe72ca8fb4e879aa08ce1c06f0ffd612894fc9bcf
tables/data_quality_report.csv,995,de45788bce8e5024f54b1d15ef6461080e9a5712c8edc09cf739f6a1399d1aad
tables/descriptive_statistics.csv,3932,9a7f18396c341c6ea2aede3382d4a9f32efc4dfba6d54b7e54ccccc324a1ff99
tables/distribution_and_stationarity_tests.csv,4170,663e1218d0787ca5d057b5a6bc4ccaec16c5c72265c257b738422b501d15ecf0
tables/downside_correlation.csv,2763,d60c50e3f08710d0c766b5b1b3c58873a567446bc74546ca82bf33baddbf37b1
tables/event_window_performance.csv,5364,9f9295868f417d8dc0af47cf180aed09a694d88809260ea5b84eb968f6945932
tables/fold_performance.csv,19598,57c5d3f380fd89beae166fe8c352de9c3f6116b8f0cfa3a25418ea863a064349
tables/macro_financial_indicators.csv,162007,9325312eedd7dc51d1d4a70d9b673fc99c1d0fc59fff92ee2b5d931abe3623c5
tables/market_phase_daily.csv,1027054,93621c1933506092ce53a08bf12e0b4203be43cb4155982428a4f3d7bcf3afbc
